date,department,category,subcategory,amount,currency,cost_type,budget_allocated,variance,variance_pct,approved_by,payment_status,notes
2024-11-09,Marketing,Advertising,Advertising,1982,USD,Variable,1893,89,4.7,COO,Paid,Marketing - Advertising expense
2024-11-09,Marketing,PR,PR,5693,USD,Fixed,5917,-224,-3.8,COO,Paid,Marketing - PR expense
2024-11-09,HR,Recruitment,Recruitment,6863,USD,Fixed,7005,-142,-2.0,Department_Head,Paid,HR - Recruitment expense
2024-11-10,IT,Support,Support,11077,USD,Variable,11005,72,0.7,CFO,Paid,IT - Support expense
2024-11-10,IT,Cloud_Services,Subscription,2427,USD,Fixed,2591,-164,-6.3,CFO,Pending,IT - Cloud_Services expense
2024-11-10,Sales,Travel,Travel,6813,USD,Fixed,6983,-170,-2.4,COO,Pending,Sales - Travel expense
2024-11-10,Sales,Travel,Travel,6162,USD,Variable,6876,-714,-10.4,Manager,Pending,Sales - Travel expense
2024-11-10,Logistics,Maintenance,Maintenance,10698,USD,Fixed,11833,-1135,-9.6,Department_Head,Paid,Logistics - Maintenance expense
2024-11-10,IT,Hardware,Hardware,7654,USD,Variable,7647,7,0.1,COO,Pending,IT - Hardware expense
2024-11-11,Operations,Supplies,Supplies,2897,USD,Fixed,2927,-30,-1.0,Manager,Paid,Operations - Supplies expense
2024-11-11,Sales,Client_Entertainment,Client_Entertainment,6118,USD,Fixed,6125,-7,-0.1,Department_Head,Paid,Sales - Client_Entertainment expense
2024-11-11,Marketing,PR,PR,4425,USD,Fixed,4634,-209,-4.5,Manager,Paid,Marketing - PR expense
2024-11-11,IT,Software_Licenses,Subscription,6229,USD,Fixed,6052,177,2.9,Department_Head,Paid,IT - Software_Licenses expense
2024-11-12,HR,Recruitment,Recruitment,9993,USD,Fixed,11365,-1372,-12.1,COO,Paid,HR - Recruitment expense
2024-11-12,Marketing,PR,PR,6052,USD,Variable,5953,99,1.7,COO,Paid,Marketing - PR expense
2024-11-12,Operations,Supplies,Supplies,5257,USD,Fixed,5630,-373,-6.6,Department_Head,Paid,Operations - Supplies expense
2024-11-12,Sales,Commissions,Commissions,2247,USD,Fixed,2136,111,5.2,Manager,Paid,Sales - Commissions expense
2024-11-12,IT,Software_Licenses,Subscription,6559,USD,Fixed,6341,218,3.4,COO,Paid,IT - Software_Licenses expense
2024-11-13,Logistics,Fuel,Gasoline,10783,USD,Variable,10901,-118,-1.1,Department_Head,Paid,Logistics - Fuel expense
2024-11-13,HR,Training,Training,8822,USD,Fixed,9643,-821,-8.5,Manager,Paid,HR - Training expense
2024-11-13,HR,Recruitment,Recruitment,1538,USD,Variable,1497,41,2.7,CFO,Paid,HR - Recruitment expense
2024-11-13,HR,Benefits,Benefits,2313,USD,Variable,2367,-54,-2.3,Manager,Paid,HR - Benefits expense
2024-11-13,HR,Benefits,Benefits,9632,USD,Fixed,10811,-1179,-10.9,CFO,Approved,HR - Benefits expense
2024-11-13,IT,Support,Support,11237,USD,Fixed,11925,-688,-5.8,Department_Head,Paid,IT - Support expense
2024-11-14,Marketing,Digital_Marketing,Digital_Marketing,6297,USD,Variable,7219,-922,-12.8,Department_Head,Paid,Marketing - Digital_Marketing expense
2024-11-14,Marketing,Digital_Marketing,Digital_Marketing,8441,USD,Fixed,9367,-926,-9.9,Manager,Paid,Marketing - Digital_Marketing expense
2024-11-14,Marketing,Advertising,Advertising,3348,USD,Fixed,3611,-263,-7.3,CFO,Paid,Marketing - Advertising expense
2024-11-14,Operations,Contract_Services,Contract_Services,11502,USD,Fixed,11713,-211,-1.8,CFO,Paid,Operations - Contract_Services expense
2024-11-14,HR,Recruitment,Recruitment,3219,USD,Fixed,3639,-420,-11.5,CFO,Paid,HR - Recruitment expense
2024-11-14,Operations,Contract_Services,Contract_Services,2689,USD,Variable,2801,-112,-4.0,Department_Head,Paid,Operations - Contract_Services expense
2024-11-15,HR,Recruitment,Recruitment,4293,USD,Fixed,4685,-392,-8.4,Department_Head,Paid,HR - Recruitment expense
2024-11-15,Marketing,Digital_Marketing,Digital_Marketing,1505,USD,Fixed,1543,-38,-2.5,COO,Paid,Marketing - Digital_Marketing expense
2024-11-15,HR,Salaries,Payroll,61347,USD,Fixed,67650,-6303,-9.3,COO,Approved,HR - Salaries expense
2024-11-16,Logistics,Insurance,Insurance,9815,USD,Variable,9966,-151,-1.5,COO,Paid,Logistics - Insurance expense
2024-11-16,Operations,Utilities,Utilities,9758,USD,Variable,10596,-838,-7.9,Manager,Pending,Operations - Utilities expense
2024-11-16,IT,Hardware,Hardware,10347,USD,Fixed,10389,-42,-0.4,CFO,Paid,IT - Hardware expense
2024-11-16,Marketing,PR,PR,2392,USD,Variable,2414,-22,-0.9,COO,Paid,Marketing - PR expense
2024-11-16,Marketing,Events,Events,6429,USD,Fixed,6469,-40,-0.6,Department_Head,Paid,Marketing - Events expense
2024-11-16,Sales,Travel,Travel,8134,USD,Variable,8975,-841,-9.4,COO,Paid,Sales - Travel expense
2024-11-17,Operations,Contract_Services,Contract_Services,4411,USD,Fixed,4792,-381,-8.0,CFO,Pending,Operations - Contract_Services expense
2024-11-17,HR,Training,Training,10079,USD,Fixed,10778,-699,-6.5,Manager,Paid,HR - Training expense
2024-11-17,Operations,Supplies,Supplies,7929,USD,Variable,8743,-814,-9.3,COO,Approved,Operations - Supplies expense
2024-11-17,HR,Benefits,Benefits,10608,USD,Fixed,11419,-811,-7.1,COO,Paid,HR - Benefits expense
2024-11-17,HR,Salaries,Payroll,53284,USD,Fixed,59989,-6705,-11.2,Department_Head,Pending,HR - Salaries expense
2024-11-17,Sales,Client_Entertainment,Client_Entertainment,11897,USD,Variable,13432,-1535,-11.4,Department_Head,Approved,Sales - Client_Entertainment expense
2024-11-18,IT,Hardware,Hardware,7390,USD,Fixed,7473,-83,-1.1,Department_Head,Paid,IT - Hardware expense
2024-11-18,HR,Benefits,Benefits,5748,USD,Variable,6530,-782,-12.0,Department_Head,Paid,HR - Benefits expense
2024-11-18,Marketing,Advertising,Advertising,4653,USD,Fixed,4755,-102,-2.1,COO,Paid,Marketing - Advertising expense
2024-11-18,Sales,Client_Entertainment,Client_Entertainment,8009,USD,Variable,7925,84,1.1,Department_Head,Paid,Sales - Client_Entertainment expense
2024-11-18,IT,Support,Support,2450,USD,Variable,2333,117,5.0,Department_Head,Paid,IT - Support expense
2024-11-19,Marketing,Advertising,Advertising,5054,USD,Variable,5108,-54,-1.1,COO,Paid,Marketing - Advertising expense
2024-11-19,IT,Software_Licenses,Subscription,2670,USD,Fixed,2613,57,2.2,COO,Paid,IT - Software_Licenses expense
2024-11-19,HR,Benefits,Benefits,11120,USD,Fixed,12778,-1658,-13.0,Manager,Overdue,HR - Benefits expense
2024-11-20,Marketing,Digital_Marketing,Digital_Marketing,5688,USD,Variable,5904,-216,-3.7,Department_Head,Paid,Marketing - Digital_Marketing expense
2024-11-20,IT,Support,Support,1889,USD,Variable,1795,94,5.2,CFO,Paid,IT - Support expense
2024-11-21,Logistics,Driver_Salaries,Payroll,48701,USD,Fixed,52989,-4288,-8.1,COO,Paid,Logistics - Driver_Salaries expense
2024-11-21,Operations,Utilities,Utilities,1657,USD,Fixed,1739,-82,-4.7,Manager,Paid,Operations - Utilities expense
2024-11-21,Logistics,Warehouse_Rent,Warehouse_Rent,9359,USD,Variable,10685,-1326,-12.4,Manager,Pending,Logistics - Warehouse_Rent expense
2024-11-21,Marketing,PR,PR,2188,USD,Variable,2216,-28,-1.3,Department_Head,Pending,Marketing - PR expense
2024-11-21,IT,Hardware,Hardware,11420,USD,Fixed,12887,-1467,-11.4,Manager,Paid,IT - Hardware expense
2024-11-21,Operations,Utilities,Utilities,10363,USD,Variable,11517,-1154,-10.0,Manager,Paid,Operations - Utilities expense
2024-11-22,Sales,Travel,Travel,6494,USD,Variable,6951,-457,-6.6,COO,Paid,Sales - Travel expense
2024-11-22,IT,Cloud_Services,Subscription,3944,USD,Fixed,3920,24,0.6,CFO,Approved,IT - Cloud_Services expense
2024-11-22,Logistics,Insurance,Insurance,3533,USD,Fixed,3418,115,3.4,CFO,Paid,Logistics - Insurance expense
2024-11-22,Logistics,Fuel,Diesel,13624,USD,Variable,14560,-936,-6.4,CFO,Paid,Logistics - Fuel expense
2024-11-22,IT,Hardware,Hardware,7164,USD,Fixed,7037,127,1.8,CFO,Paid,IT - Hardware expense
2024-11-22,HR,Benefits,Benefits,11121,USD,Variable,11727,-606,-5.2,Manager,Paid,HR - Benefits expense
2024-11-23,Logistics,Fuel,Gasoline,14994,USD,Variable,14319,675,4.7,CFO,Paid,Logistics - Fuel expense
2024-11-23,HR,Salaries,Payroll,79305,USD,Fixed,90753,-11448,-12.6,CFO,Paid,HR - Salaries expense
2024-11-23,Marketing,Advertising,Advertising,8245,USD,Fixed,7961,284,3.6,Department_Head,Paid,Marketing - Advertising expense
2024-11-23,Marketing,PR,PR,11509,USD,Fixed,12240,-731,-6.0,COO,Paid,Marketing - PR expense
2024-11-23,Sales,Client_Entertainment,Client_Entertainment,5813,USD,Fixed,5794,19,0.3,Department_Head,Paid,Sales - Client_Entertainment expense
2024-11-23,Logistics,Fuel,Gasoline,9197,USD,Variable,8938,259,2.9,COO,Paid,Logistics - Fuel expense
2024-11-24,Operations,Contract_Services,Contract_Services,5406,USD,Variable,5188,218,4.2,COO,Approved,Operations - Contract_Services expense
2024-11-24,Logistics,Warehouse_Rent,Warehouse_Rent,6738,USD,Fixed,6526,212,3.2,Department_Head,Pending,Logistics - Warehouse_Rent expense
2024-11-24,HR,Salaries,Payroll,60569,USD,Fixed,62816,-2247,-3.6,Department_Head,Paid,HR - Salaries expense
2024-11-24,Marketing,Advertising,Advertising,10068,USD,Fixed,9705,363,3.7,Department_Head,Paid,Marketing - Advertising expense
2024-11-25,Logistics,Driver_Salaries,Payroll,64545,USD,Fixed,61969,2576,4.2,CFO,Overdue,Logistics - Driver_Salaries expense
2024-11-25,IT,Software_Licenses,Subscription,5081,USD,Fixed,5480,-399,-7.3,Department_Head,Pending,IT - Software_Licenses expense
2024-11-25,Marketing,Advertising,Advertising,6415,USD,Variable,6857,-442,-6.4,Manager,Paid,Marketing - Advertising expense
2024-11-26,Marketing,Advertising,Advertising,9540,USD,Variable,10786,-1246,-11.6,Manager,Paid,Marketing - Advertising expense
2024-11-26,Sales,Client_Entertainment,Client_Entertainment,3290,USD,Variable,3190,100,3.1,COO,Paid,Sales - Client_Entertainment expense
2024-11-26,HR,Training,Training,8473,USD,Variable,8059,414,5.1,COO,Approved,HR - Training expense
2024-11-26,Sales,Client_Entertainment,Client_Entertainment,7632,USD,Fixed,8596,-964,-11.2,Manager,Paid,Sales - Client_Entertainment expense
2024-11-26,HR,Recruitment,Recruitment,2494,USD,Fixed,2540,-46,-1.8,COO,Paid,HR - Recruitment expense
2024-11-27,Sales,Commissions,Commissions,4797,USD,Fixed,5356,-559,-10.4,Department_Head,Pending,Sales - Commissions expense
2024-11-27,Operations,Contract_Services,Contract_Services,1058,USD,Variable,1130,-72,-6.4,COO,Paid,Operations - Contract_Services expense
2024-11-27,Logistics,Insurance,Insurance,1982,USD,Variable,2101,-119,-5.7,Department_Head,Pending,Logistics - Insurance expense
2024-11-27,HR,Recruitment,Recruitment,4578,USD,Variable,4694,-116,-2.5,COO,Approved,HR - Recruitment expense
2024-11-27,Sales,Marketing_Materials,Marketing_Materials,2613,USD,Variable,2701,-88,-3.3,Department_Head,Paid,Sales - Marketing_Materials expense
2024-11-28,Sales,Commissions,Commissions,6843,USD,Fixed,7237,-394,-5.4,COO,Paid,Sales - Commissions expense
2024-11-28,Logistics,Insurance,Insurance,2669,USD,Fixed,2977,-308,-10.3,Department_Head,Paid,Logistics - Insurance expense
2024-11-28,Sales,Marketing_Materials,Marketing_Materials,4415,USD,Variable,4654,-239,-5.1,Department_Head,Paid,Sales - Marketing_Materials expense
2024-11-29,Logistics,Insurance,Insurance,7933,USD,Fixed,8904,-971,-10.9,COO,Paid,Logistics - Insurance expense
2024-11-29,Operations,Contract_Services,Contract_Services,9336,USD,Fixed,10730,-1394,-13.0,Manager,Paid,Operations - Contract_Services expense
2024-11-29,Logistics,Driver_Salaries,Payroll,54329,USD,Fixed,61755,-7426,-12.0,Department_Head,Pending,Logistics - Driver_Salaries expense
2024-11-29,Sales,Travel,Travel,8838,USD,Variable,9537,-699,-7.3,Manager,Overdue,Sales - Travel expense
2024-11-29,Logistics,Driver_Salaries,Payroll,82869,USD,Fixed,93884,-11015,-11.7,Manager,Paid,Logistics - Driver_Salaries expense
2024-11-29,Sales,Commissions,Commissions,2788,USD,Variable,2855,-67,-2.3,Department_Head,Paid,Sales - Commissions expense
2024-11-30,IT,Software_Licenses,Subscription,2066,USD,Fixed,2306,-240,-10.4,Department_Head,Paid,IT - Software_Licenses expense
2024-11-30,HR,Salaries,Payroll,73515,USD,Fixed,75672,-2157,-2.9,Department_Head,Paid,HR - Salaries expense
2024-11-30,HR,Salaries,Payroll,70801,USD,Fixed,68200,2601,3.8,Manager,Pending,HR - Salaries expense
2024-12-01,IT,Support,Support,5573,USD,Fixed,5657,-84,-1.5,COO,Paid,IT - Support expense
2024-12-01,Logistics,Maintenance,Maintenance,2991,USD,Variable,2906,85,2.9,Department_Head,Approved,Logistics - Maintenance expense
2024-12-01,Marketing,Advertising,Advertising,8300,USD,Variable,8341,-41,-0.5,Manager,Paid,Marketing - Advertising expense
2024-12-01,Logistics,Fuel,Gasoline,9738,USD,Variable,11064,-1326,-12.0,CFO,Paid,Logistics - Fuel expense
2024-12-02,HR,Salaries,Payroll,68415,USD,Fixed,74589,-6174,-8.3,COO,Pending,HR - Salaries expense
2024-12-02,HR,Recruitment,Recruitment,4266,USD,Fixed,4772,-506,-10.6,COO,Paid,HR - Recruitment expense
2024-12-02,Logistics,Fuel,Gasoline,9298,USD,Variable,9667,-369,-3.8,CFO,Paid,Logistics - Fuel expense
2024-12-02,Logistics,Fuel,Diesel,14301,USD,Variable,15224,-923,-6.1,Manager,Paid,Logistics - Fuel expense
2024-12-03,IT,Cloud_Services,Subscription,2162,USD,Fixed,2381,-219,-9.2,COO,Overdue,IT - Cloud_Services expense
2024-12-03,Operations,Equipment,Tools,17812,USD,Capital,20427,-2615,-12.8,Manager,Paid,Operations - Equipment expense
2024-12-03,HR,Benefits,Benefits,2212,USD,Variable,2497,-285,-11.4,Department_Head,Paid,HR - Benefits expense
2024-12-03,Operations,Utilities,Utilities,8045,USD,Variable,8152,-107,-1.3,Department_Head,Paid,Operations - Utilities expense
2024-12-03,HR,Recruitment,Recruitment,4872,USD,Variable,5211,-339,-6.5,Manager,Paid,HR - Recruitment expense
2024-12-03,Marketing,Events,Events,6703,USD,Variable,6996,-293,-4.2,Department_Head,Approved,Marketing - Events expense
2024-12-04,Logistics,Maintenance,Maintenance,11946,USD,Fixed,13108,-1162,-8.9,Department_Head,Overdue,Logistics - Maintenance expense
2024-12-04,Marketing,Digital_Marketing,Digital_Marketing,2277,USD,Variable,2304,-27,-1.2,CFO,Approved,Marketing - Digital_Marketing expense
2024-12-04,Sales,Client_Entertainment,Client_Entertainment,1173,USD,Fixed,1180,-7,-0.6,CFO,Paid,Sales - Client_Entertainment expense
2024-12-04,HR,Recruitment,Recruitment,8871,USD,Fixed,9244,-373,-4.0,Manager,Paid,HR - Recruitment expense
2024-12-05,Logistics,Maintenance,Maintenance,6443,USD,Fixed,6257,186,3.0,CFO,Paid,Logistics - Maintenance expense
2024-12-05,Sales,Travel,Travel,2073,USD,Fixed,1987,86,4.3,COO,Paid,Sales - Travel expense
2024-12-05,IT,Support,Support,6967,USD,Variable,7575,-608,-8.0,CFO,Paid,IT - Support expense
2024-12-05,Operations,Utilities,Utilities,2027,USD,Variable,2138,-111,-5.2,Manager,Paid,Operations - Utilities expense
2024-12-06,Logistics,Fuel,Gasoline,12132,USD,Variable,13713,-1581,-11.5,COO,Paid,Logistics - Fuel expense
2024-12-06,HR,Salaries,Payroll,67707,USD,Fixed,70342,-2635,-3.7,CFO,Paid,HR - Salaries expense
2024-12-06,HR,Benefits,Benefits,4296,USD,Fixed,4287,9,0.2,CFO,Approved,HR - Benefits expense
2024-12-06,HR,Benefits,Benefits,11782,USD,Variable,13312,-1530,-11.5,Manager,Pending,HR - Benefits expense
2024-12-06,Operations,Supplies,Supplies,2381,USD,Fixed,2337,44,1.9,CFO,Paid,Operations - Supplies expense
2024-12-07,Operations,Supplies,Supplies,8522,USD,Fixed,8682,-160,-1.8,COO,Approved,Operations - Supplies expense
2024-12-07,Sales,Client_Entertainment,Client_Entertainment,8312,USD,Variable,7934,378,4.8,Department_Head,Paid,Sales - Client_Entertainment expense
2024-12-07,Operations,Equipment,Machinery,38988,USD,Capital,41011,-2023,-4.9,COO,Paid,Operations - Equipment expense
2024-12-07,Sales,Travel,Travel,8056,USD,Fixed,8471,-415,-4.9,Manager,Paid,Sales - Travel expense
2024-12-08,HR,Salaries,Payroll,64464,USD,Fixed,67028,-2564,-3.8,CFO,Approved,HR - Salaries expense
2024-12-08,HR,Benefits,Benefits,6902,USD,Fixed,6938,-36,-0.5,COO,Approved,HR - Benefits expense
2024-12-09,Sales,Travel,Travel,8364,USD,Variable,8554,-190,-2.2,CFO,Paid,Sales - Travel expense
2024-12-09,Operations,Equipment,Tools,47360,USD,Capital,50937,-3577,-7.0,Manager,Paid,Operations - Equipment expense
2024-12-09,Sales,Travel,Travel,1244,USD,Variable,1265,-21,-1.7,Manager,Paid,Sales - Travel expense
2024-12-09,Marketing,Events,Events,9741,USD,Variable,9501,240,2.5,CFO,Paid,Marketing - Events expense
2024-12-09,IT,Support,Support,11770,USD,Variable,12339,-569,-4.6,COO,Pending,IT - Support expense
2024-12-10,Operations,Contract_Services,Contract_Services,2080,USD,Fixed,2023,57,2.8,CFO,Paid,Operations - Contract_Services expense
2024-12-10,Operations,Utilities,Utilities,4894,USD,Fixed,5614,-720,-12.8,COO,Paid,Operations - Utilities expense
2024-12-10,Sales,Marketing_Materials,Marketing_Materials,10538,USD,Variable,10077,461,4.6,CFO,Approved,Sales - Marketing_Materials expense
2024-12-10,Sales,Client_Entertainment,Client_Entertainment,4491,USD,Variable,5126,-635,-12.4,Manager,Pending,Sales - Client_Entertainment expense
2024-12-11,Marketing,Advertising,Advertising,4407,USD,Variable,4650,-243,-5.2,CFO,Overdue,Marketing - Advertising expense
2024-12-11,Logistics,Driver_Salaries,Payroll,82454,USD,Fixed,94776,-12322,-13.0,CFO,Paid,Logistics - Driver_Salaries expense
2024-12-12,HR,Benefits,Benefits,11740,USD,Fixed,13155,-1415,-10.8,COO,Approved,HR - Benefits expense
2024-12-12,HR,Salaries,Payroll,67356,USD,Fixed,66362,994,1.5,Department_Head,Paid,HR - Salaries expense
2024-12-13,Sales,Marketing_Materials,Marketing_Materials,11434,USD,Fixed,11486,-52,-0.5,Department_Head,Paid,Sales - Marketing_Materials expense
2024-12-13,Sales,Commissions,Commissions,2856,USD,Variable,2968,-112,-3.8,COO,Pending,Sales - Commissions expense
2024-12-14,IT,Hardware,Hardware,5590,USD,Variable,5378,212,3.9,Department_Head,Paid,IT - Hardware expense
2024-12-14,Logistics,Fuel,Diesel,11384,USD,Variable,11072,312,2.8,Manager,Paid,Logistics - Fuel expense
2024-12-14,Sales,Client_Entertainment,Client_Entertainment,7797,USD,Variable,8108,-311,-3.8,COO,Paid,Sales - Client_Entertainment expense
2024-12-15,HR,Training,Training,4749,USD,Variable,4701,48,1.0,CFO,Paid,HR - Training expense
2024-12-15,Operations,Utilities,Utilities,7307,USD,Variable,7222,85,1.2,CFO,Overdue,Operations - Utilities expense
2024-12-15,HR,Training,Training,9841,USD,Variable,10596,-755,-7.1,Manager,Approved,HR - Training expense
2024-12-15,Sales,Commissions,Commissions,7795,USD,Fixed,8208,-413,-5.0,Manager,Pending,Sales - Commissions expense
2024-12-15,Logistics,Insurance,Insurance,7258,USD,Fixed,7123,135,1.9,COO,Paid,Logistics - Insurance expense
2024-12-15,Operations,Utilities,Utilities,6344,USD,Fixed,6062,282,4.7,Manager,Pending,Operations - Utilities expense
2024-12-16,Sales,Client_Entertainment,Client_Entertainment,11158,USD,Variable,11980,-822,-6.9,Department_Head,Paid,Sales - Client_Entertainment expense
2024-12-16,Marketing,Events,Events,7737,USD,Fixed,7356,381,5.2,CFO,Paid,Marketing - Events expense
2024-12-17,Marketing,Advertising,Advertising,7464,USD,Fixed,7280,184,2.5,Manager,Paid,Marketing - Advertising expense
2024-12-17,Operations,Contract_Services,Contract_Services,4647,USD,Variable,4571,76,1.7,CFO,Paid,Operations - Contract_Services expense
2024-12-17,HR,Benefits,Benefits,9336,USD,Fixed,9870,-534,-5.4,Manager,Paid,HR - Benefits expense
2024-12-17,Logistics,Fuel,Diesel,12034,USD,Variable,11875,159,1.3,CFO,Paid,Logistics - Fuel expense
2024-12-18,Marketing,Digital_Marketing,Digital_Marketing,1144,USD,Variable,1251,-107,-8.6,Department_Head,Overdue,Marketing - Digital_Marketing expense
2024-12-18,Logistics,Insurance,Insurance,9669,USD,Fixed,9910,-241,-2.4,CFO,Pending,Logistics - Insurance expense
2024-12-18,Logistics,Fuel,Diesel,10792,USD,Variable,12265,-1473,-12.0,Manager,Paid,Logistics - Fuel expense
2024-12-18,Sales,Client_Entertainment,Client_Entertainment,11846,USD,Fixed,12113,-267,-2.2,Department_Head,Overdue,Sales - Client_Entertainment expense
2024-12-18,Logistics,Warehouse_Rent,Warehouse_Rent,9884,USD,Fixed,9446,438,4.6,Manager,Overdue,Logistics - Warehouse_Rent expense
2024-12-18,Sales,Commissions,Commissions,11667,USD,Variable,11354,313,2.8,Manager,Paid,Sales - Commissions expense
2024-12-19,Sales,Travel,Travel,7423,USD,Fixed,8316,-893,-10.7,Manager,Paid,Sales - Travel expense
2024-12-19,Marketing,Advertising,Advertising,8143,USD,Variable,8424,-281,-3.3,CFO,Approved,Marketing - Advertising expense
2024-12-20,Logistics,Fuel,Diesel,13027,USD,Variable,14211,-1184,-8.3,COO,Paid,Logistics - Fuel expense
2024-12-20,Operations,Contract_Services,Contract_Services,7759,USD,Fixed,8459,-700,-8.3,COO,Pending,Operations - Contract_Services expense
2024-12-20,IT,Support,Support,11998,USD,Fixed,12316,-318,-2.6,COO,Paid,IT - Support expense
2024-12-20,HR,Training,Training,7095,USD,Variable,7197,-102,-1.4,Department_Head,Paid,HR - Training expense
2024-12-21,IT,Hardware,Hardware,7518,USD,Fixed,8631,-1113,-12.9,COO,Paid,IT - Hardware expense
2024-12-21,IT,Software_Licenses,Subscription,4111,USD,Fixed,4346,-235,-5.4,Department_Head,Paid,IT - Software_Licenses expense
2024-12-21,Marketing,Digital_Marketing,Digital_Marketing,2525,USD,Variable,2413,112,4.6,Manager,Paid,Marketing - Digital_Marketing expense
2024-12-21,Operations,Contract_Services,Contract_Services,11397,USD,Variable,11229,168,1.5,COO,Paid,Operations - Contract_Services expense
2024-12-21,IT,Hardware,Hardware,10374,USD,Variable,10993,-619,-5.6,Manager,Paid,IT - Hardware expense
2024-12-22,IT,Software_Licenses,Subscription,4512,USD,Fixed,4718,-206,-4.4,CFO,Pending,IT - Software_Licenses expense
