date,region,route_id,origin_city,destination_city,carrier,fuel_used_l,fuel_price_per_l,delay_hr,delay_reason,shipment_volume_tons,on_time_delivery,temperature_controlled,distance_km
2024-11-29,East,R001,New York,Boston,NorthernHaul,803,1.57,1.3,None,72,Yes,Yes,613
2024-11-29,East,R002,New York,Boston,NorthernHaul,773,1.56,0.9,None,73,Yes,No,642
2024-11-30,West,R004,Seattle,Portland,QuickShip,799,1.55,0.0,None,59,Yes,No,510
2024-11-30,West,R001,San Diego,Las Vegas,GoSouth,787,1.4,0.9,None,45,Yes,Yes,567
2024-12-01,North,R005,Toronto,Montreal,MoveWest,833,1.54,3.9,Loading_Delay,75,No,Yes,522
2024-12-02,East,R002,Boston,Philadelphia,QuickShip,829,1.61,0.9,None,54,Yes,Yes,759
2024-12-02,East,R003,Boston,Philadelphia,GoSouth,878,1.54,1.2,None,54,Yes,No,424
2024-12-02,West,R001,Los Angeles,San Francisco,QuickShip,845,1.42,0.9,None,55,Yes,No,267
2024-12-02,North,R004,Toronto,Montreal,FastFreight,779,1.43,1.0,None,61,Yes,Yes,737
2024-12-03,East,R003,New York,Boston,QuickShip,656,1.4,0.4,None,65,Yes,Yes,822
2024-12-03,East,R002,New York,Boston,MoveWest,845,1.45,0.8,None,67,Yes,No,574
2024-12-03,West,R004,San Diego,Las Vegas,QuickShip,774,1.45,3.0,Traffic,64,No,No,555
2024-12-03,East,R002,New York,Boston,NorthernHaul,766,1.45,0.2,None,69,Yes,Yes,537
2024-12-04,North,R003,Chicago,Milwaukee,NorthernHaul,697,1.63,0.1,None,63,Yes,No,808
2024-12-05,South,R001,Houston,Dallas,GoSouth,895,1.51,7.5,Weather,62,No,No,696
2024-12-05,West,R005,Seattle,Portland,GoSouth,788,1.47,0.1,None,48,Yes,No,610
2024-12-06,West,R003,San Diego,Las Vegas,NorthernHaul,808,1.44,0.7,None,70,Yes,No,593
2024-12-07,East,R002,Boston,Philadelphia,NorthernHaul,885,1.48,0.8,None,73,Yes,No,594
2024-12-08,West,R003,Los Angeles,San Francisco,NorthernHaul,805,1.61,0.6,None,65,Yes,Yes,459
2024-12-09,East,R005,New York,Boston,QuickShip,943,1.45,0.9,None,72,Yes,No,368
2024-12-09,West,R001,Los Angeles,San Francisco,MoveWest,729,1.47,0.6,None,57,Yes,No,841
2024-12-09,North,R001,Toronto,Montreal,FastFreight,918,1.6,4.4,Traffic,73,No,No,762
2024-12-10,East,R005,New York,Boston,FastFreight,788,1.59,1.2,None,68,Yes,Yes,271
2024-12-10,South,R005,Houston,Dallas,TransEast,798,1.65,0.5,None,65,Yes,No,826
2024-12-11,South,R002,Houston,Dallas,GoSouth,675,1.64,6.4,Traffic,66,No,No,479
2024-12-11,South,R005,New Orleans,Memphis,NorthernHaul,787,1.48,6.2,Loading_Delay,67,No,Yes,686
2024-12-11,South,R001,New Orleans,Memphis,FastFreight,870,1.54,1.4,None,53,Yes,No,774
2024-12-12,South,R004,Miami,Atlanta,GoSouth,933,1.43,0.1,None,74,Yes,Yes,740
2024-12-13,East,R004,New York,Washington,FastFreight,684,1.62,1.0,None,72,Yes,No,717
2024-12-13,North,R002,Minneapolis,Detroit,NorthernHaul,813,1.63,0.2,None,52,Yes,No,457
2024-12-13,East,R002,New York,Boston,GoSouth,887,1.63,1.2,None,66,Yes,Yes,404
2024-12-14,South,R004,Houston,Dallas,TransEast,687,1.52,0.6,None,46,Yes,Yes,375
2024-12-14,West,R005,Los Angeles,San Francisco,GoSouth,883,1.54,3.5,Mechanical,46,No,No,466
2024-12-14,West,R003,San Diego,Las Vegas,MoveWest,661,1.39,1.2,None,72,Yes,Yes,337
2024-12-15,North,R003,Minneapolis,Detroit,QuickShip,944,1.35,7.5,Loading_Delay,46,No,No,770
2024-12-15,West,R002,Seattle,Portland,GoSouth,676,1.37,1.5,None,69,Yes,Yes,755
2024-12-15,South,R004,New Orleans,Memphis,QuickShip,775,1.61,0.7,None,49,Yes,No,735
2024-12-15,North,R003,Chicago,Milwaukee,QuickShip,947,1.39,0.6,None,49,Yes,No,329
2024-12-16,East,R004,Boston,Philadelphia,FastFreight,882,1.54,0.1,None,65,Yes,No,623
2024-12-16,East,R005,New York,Washington,NorthernHaul,909,1.49,0.8,None,73,Yes,No,475
2024-12-17,East,R003,New York,Washington,MoveWest,685,1.41,1.2,None,63,Yes,No,437
2024-12-17,South,R001,Miami,Atlanta,QuickShip,893,1.51,1.1,None,51,Yes,No,359
2024-12-18,East,R005,New York,Washington,TransEast,842,1.44,0.6,None,50,Yes,No,422
2024-12-18,South,R002,New Orleans,Memphis,MoveWest,946,1.49,0.6,None,59,Yes,No,674
2024-12-18,North,R001,Toronto,Montreal,GoSouth,914,1.39,1.0,None,51,Yes,No,714
2024-12-18,West,R003,Los Angeles,San Francisco,TransEast,814,1.63,1.2,None,71,Yes,No,439
2024-12-19,South,R001,New Orleans,Memphis,GoSouth,659,1.39,0.6,None,66,Yes,No,839
2024-12-19,West,R004,Seattle,Portland,GoSouth,689,1.45,1.2,None,66,Yes,No,642
2024-12-20,West,R005,Los Angeles,San Francisco,QuickShip,860,1.35,1.3,None,45,Yes,Yes,328
2024-12-20,South,R003,New Orleans,Memphis,TransEast,841,1.62,0.1,None,74,Yes,No,346
2024-12-21,North,R005,Minneapolis,Detroit,NorthernHaul,758,1.37,0.1,None,47,Yes,No,660
2024-12-21,South,R003,Houston,Dallas,QuickShip,889,1.35,0.6,None,46,Yes,No,452
2024-12-21,North,R002,Minneapolis,Detroit,QuickShip,698,1.35,0.5,None,66,Yes,No,387
2024-12-21,North,R001,Minneapolis,Detroit,GoSouth,931,1.53,0.7,None,68,Yes,No,516
2024-12-22,North,R005,Minneapolis,Detroit,GoSouth,823,1.52,5.6,Weather,60,No,No,763
2024-12-22,North,R002,Chicago,Milwaukee,NorthernHaul,678,1.38,0.1,None,56,Yes,No,431
2024-12-23,East,R001,New York,Washington,QuickShip,718,1.43,0.8,None,55,Yes,Yes,359
2024-12-23,North,R002,Minneapolis,Detroit,MoveWest,727,1.54,1.3,None,49,Yes,No,478
2024-12-24,West,R003,Seattle,Portland,NorthernHaul,795,1.64,1.5,None,50,Yes,No,427
2024-12-24,East,R002,New York,Boston,TransEast,694,1.48,1.3,None,50,Yes,Yes,703
2024-12-25,East,R002,Boston,Philadelphia,FastFreight,849,1.54,0.9,None,59,Yes,No,648
2024-12-26,West,R002,Los Angeles,San Francisco,QuickShip,762,1.42,0.7,None,75,Yes,No,658
2024-12-27,South,R005,Miami,Atlanta,NorthernHaul,846,1.63,0.8,None,74,Yes,No,715
2024-12-27,South,R001,Miami,Atlanta,MoveWest,755,1.59,1.0,None,71,Yes,No,748
2024-12-28,West,R001,Los Angeles,San Francisco,MoveWest,832,1.4,0.3,None,46,Yes,Yes,403
2024-12-28,South,R004,New Orleans,Memphis,QuickShip,850,1.44,0.1,None,50,Yes,No,329
2024-12-28,South,R003,Houston,Dallas,QuickShip,725,1.54,0.2,None,51,Yes,Yes,379
2024-12-28,East,R002,New York,Washington,TransEast,815,1.56,0.9,None,55,Yes,No,413
2024-12-29,North,R004,Chicago,Milwaukee,GoSouth,922,1.49,1.0,None,54,Yes,Yes,483
2024-12-30,South,R005,New Orleans,Memphis,QuickShip,889,1.55,1.3,None,55,Yes,No,573
2024-12-30,West,R002,Los Angeles,San Francisco,QuickShip,861,1.37,0.4,None,53,Yes,No,488
2024-12-30,North,R004,Chicago,Milwaukee,GoSouth,823,1.55,4.1,Weather,61,No,No,701
2024-12-31,North,R005,Minneapolis,Detroit,NorthernHaul,788,1.37,5.2,Mechanical,57,No,No,342
2024-12-31,South,R002,Houston,Dallas,TransEast,763,1.38,6.4,Traffic,56,No,No,437
2024-12-31,West,R003,Seattle,Portland,NorthernHaul,858,1.38,2.6,Loading_Delay,69,No,No,650
2025-01-01,East,R004,New York,Washington,MoveWest,829,1.45,1.5,None,71,Yes,No,452
2025-01-02,West,R003,San Diego,Las Vegas,GoSouth,790,1.49,1.1,None,72,Yes,No,694
2025-01-03,North,R005,Minneapolis,Detroit,TransEast,673,1.59,0.8,None,45,Yes,No,488
2025-01-04,West,R004,San Diego,Las Vegas,QuickShip,877,1.62,0.5,None,64,Yes,No,577
2025-01-04,South,R001,New Orleans,Memphis,GoSouth,750,1.49,1.3,None,74,Yes,No,411
2025-01-05,West,R002,Los Angeles,San Francisco,TransEast,664,1.36,0.9,None,49,Yes,No,424
2025-01-06,North,R001,Chicago,Milwaukee,MoveWest,902,1.55,1.5,None,52,Yes,No,538
2025-01-06,South,R003,Miami,Atlanta,GoSouth,874,1.59,1.5,None,66,Yes,Yes,454
2025-01-06,West,R004,Seattle,Portland,MoveWest,822,1.6,2.8,Mechanical,46,No,No,299
2025-01-07,North,R003,Minneapolis,Detroit,GoSouth,754,1.4,0.7,None,66,Yes,No,435
2025-01-07,West,R004,Seattle,Portland,NorthernHaul,678,1.63,0.3,None,55,Yes,No,339
2025-01-07,North,R005,Minneapolis,Detroit,QuickShip,786,1.6,1.3,None,53,Yes,No,435
2025-01-07,South,R001,New Orleans,Memphis,TransEast,913,1.63,7.5,Mechanical,74,No,Yes,729
2025-01-08,North,R005,Minneapolis,Detroit,FastFreight,801,1.65,0.1,None,47,Yes,No,371
2025-01-08,South,R005,Miami,Atlanta,QuickShip,820,1.46,1.4,None,74,Yes,Yes,779
2025-01-09,East,R001,New York,Boston,TransEast,882,1.41,1.4,None,46,Yes,No,546
2025-01-09,North,R002,Chicago,Milwaukee,TransEast,748,1.4,1.4,None,60,Yes,No,500
2025-01-09,South,R004,Houston,Dallas,NorthernHaul,806,1.57,1.4,None,55,Yes,No,710
2025-01-09,East,R005,New York,Washington,QuickShip,816,1.53,0.4,None,57,Yes,No,282
2025-01-10,West,R001,Los Angeles,San Francisco,NorthernHaul,834,1.48,1.1,None,70,Yes,No,642
2025-01-11,North,R003,Minneapolis,Detroit,TransEast,902,1.36,1.0,None,72,Yes,Yes,438
2025-01-11,West,R003,Seattle,Portland,MoveWest,729,1.42,1.5,None,55,Yes,Yes,414
2025-01-11,South,R003,New Orleans,Memphis,TransEast,891,1.54,1.5,None,47,Yes,No,404
2025-01-12,North,R004,Toronto,Montreal,FastFreight,851,1.52,0.7,None,47,Yes,No,295
2025-01-13,South,R003,New Orleans,Memphis,TransEast,743,1.53,0.5,None,71,Yes,Yes,782
2025-01-13,West,R002,Seattle,Portland,TransEast,803,1.6,7.4,Mechanical,47,No,No,433
2025-01-14,South,R005,Miami,Atlanta,NorthernHaul,907,1.57,0.5,None,51,Yes,No,465
2025-01-14,North,R001,Chicago,Milwaukee,QuickShip,653,1.54,1.5,None,64,Yes,No,411
2025-01-15,East,R001,New York,Washington,MoveWest,771,1.51,1.0,None,70,Yes,Yes,310
2025-01-15,South,R001,New Orleans,Memphis,QuickShip,950,1.51,1.1,None,66,Yes,No,746
2025-01-16,West,R003,San Diego,Las Vegas,NorthernHaul,882,1.56,1.1,None,53,Yes,Yes,302
2025-01-17,West,R002,San Diego,Las Vegas,MoveWest,673,1.5,1.1,None,45,Yes,No,360
2025-01-17,West,R001,Los Angeles,San Francisco,FastFreight,914,1.42,0.5,None,70,Yes,No,622
2025-01-18,West,R002,San Diego,Las Vegas,QuickShip,657,1.4,0.2,None,57,Yes,No,262
2025-01-18,East,R004,New York,Boston,NorthernHaul,862,1.55,6.2,Weather,64,No,No,603
2025-01-19,North,R002,Chicago,Milwaukee,MoveWest,811,1.37,6.1,Mechanical,53,No,No,327
2025-01-19,South,R001,New Orleans,Memphis,MoveWest,807,1.4,0.1,None,69,Yes,Yes,408
2025-01-19,North,R002,Minneapolis,Detroit,GoSouth,886,1.61,6.3,Weather,74,No,No,458
2025-01-19,North,R005,Toronto,Montreal,FastFreight,761,1.54,0.9,None,67,Yes,No,658
2025-01-20,South,R002,Houston,Dallas,TransEast,822,1.43,1.2,None,60,Yes,No,818
2025-01-20,South,R003,Miami,Atlanta,TransEast,836,1.5,1.2,None,56,Yes,No,606
2025-01-20,South,R001,Houston,Dallas,MoveWest,852,1.6,0.9,None,65,Yes,No,439
2025-01-20,South,R004,Houston,Dallas,GoSouth,868,1.53,0.9,None,52,Yes,Yes,532
2025-01-21,West,R004,San Diego,Las Vegas,NorthernHaul,854,1.6,0.1,None,74,Yes,No,761
2025-01-21,South,R001,New Orleans,Memphis,FastFreight,673,1.53,0.2,None,69,Yes,No,735
2025-01-22,East,R002,New York,Boston,MoveWest,742,1.56,1.0,None,74,Yes,No,488
2025-01-22,West,R003,Los Angeles,San Francisco,FastFreight,689,1.59,0.2,None,56,Yes,No,624
2025-01-22,West,R004,San Diego,Las Vegas,TransEast,884,1.5,1.1,None,47,Yes,No,582
2025-01-22,North,R001,Chicago,Milwaukee,QuickShip,683,1.56,0.9,None,75,Yes,No,746
2025-01-23,West,R004,Seattle,Portland,GoSouth,946,1.61,0.3,None,57,Yes,Yes,605
2025-01-24,East,R001,New York,Washington,TransEast,736,1.43,0.9,None,59,Yes,No,553
2025-01-25,South,R003,Houston,Dallas,TransEast,754,1.61,0.1,None,55,Yes,No,679
2025-01-25,South,R003,Houston,Dallas,NorthernHaul,823,1.42,1.3,None,62,Yes,No,722
2025-01-25,South,R004,New Orleans,Memphis,TransEast,714,1.45,2.3,Traffic,53,No,No,635
2025-01-25,North,R003,Minneapolis,Detroit,QuickShip,898,1.41,0.6,None,61,Yes,No,495
2025-01-26,West,R001,Los Angeles,San Francisco,FastFreight,950,1.6,0.1,None,47,Yes,Yes,656
2025-01-26,East,R004,New York,Washington,FastFreight,939,1.6,0.2,None,49,Yes,Yes,379
2025-01-26,South,R004,New Orleans,Memphis,NorthernHaul,678,1.64,7.6,Weather,62,No,No,302
2025-01-26,East,R004,Boston,Philadelphia,GoSouth,819,1.51,1.1,None,55,Yes,No,825
2025-01-27,East,R001,New York,Boston,MoveWest,749,1.6,0.0,None,74,Yes,No,420
2025-01-27,North,R003,Minneapolis,Detroit,GoSouth,881,1.53,2.1,Weather,56,No,No,693
2025-01-27,North,R003,Chicago,Milwaukee,FastFreight,881,1.48,0.5,None,49,Yes,No,434
2025-01-28,East,R001,New York,Boston,FastFreight,689,1.63,0.5,None,69,Yes,No,773
2025-01-28,North,R002,Toronto,Montreal,NorthernHaul,768,1.45,0.7,None,68,Yes,No,435
2025-01-29,West,R002,San Diego,Las Vegas,MoveWest,949,1.61,0.5,None,55,Yes,Yes,600
2025-01-30,East,R002,New York,Boston,MoveWest,786,1.38,0.4,None,71,Yes,Yes,419
2025-01-30,East,R002,New York,Boston,NorthernHaul,685,1.37,1.1,None,71,Yes,No,613
2025-01-30,East,R003,New York,Washington,GoSouth,706,1.42,0.7,None,73,Yes,No,380
2025-01-31,East,R005,New York,Washington,FastFreight,827,1.47,0.4,None,59,Yes,Yes,346
2025-01-31,West,R002,San Diego,Las Vegas,MoveWest,784,1.36,0.6,None,67,Yes,Yes,517
2025-01-31,North,R005,Minneapolis,Detroit,QuickShip,765,1.58,0.3,None,45,Yes,No,537
2025-02-01,West,R002,San Diego,Las Vegas,MoveWest,743,1.51,0.2,None,56,Yes,Yes,729
2025-02-01,West,R002,Seattle,Portland,QuickShip,910,1.48,0.8,None,48,Yes,No,322
2025-02-01,East,R003,Boston,Philadelphia,TransEast,762,1.45,1.1,None,59,Yes,No,732
2025-02-01,North,R001,Toronto,Montreal,FastFreight,945,1.39,5.9,Weather,60,No,No,323
2025-02-02,East,R002,New York,Washington,GoSouth,701,1.4,0.4,None,62,Yes,No,635
2025-02-02,South,R004,Houston,Dallas,NorthernHaul,917,1.37,1.4,None,46,Yes,No,523
2025-02-02,South,R005,Miami,Atlanta,QuickShip,717,1.52,0.8,None,50,Yes,No,303
2025-02-02,East,R001,New York,Washington,FastFreight,830,1.53,1.4,None,55,Yes,No,589
2025-02-03,West,R001,Los Angeles,San Francisco,GoSouth,690,1.38,0.9,None,72,Yes,Yes,261
2025-02-03,East,R004,New York,Boston,MoveWest,784,1.4,0.6,None,56,Yes,No,648
2025-02-04,South,R003,Houston,Dallas,NorthernHaul,830,1.53,0.5,None,56,Yes,No,734
2025-02-05,West,R002,Los Angeles,San Francisco,QuickShip,800,1.45,4.1,Traffic,75,No,No,427
2025-02-05,West,R005,Seattle,Portland,NorthernHaul,729,1.39,0.6,None,63,Yes,No,425
2025-02-05,West,R003,San Diego,Las Vegas,FastFreight,747,1.54,0.5,None,55,Yes,No,346
2025-02-06,South,R005,Miami,Atlanta,MoveWest,867,1.63,0.2,None,59,Yes,No,413
2025-02-06,North,R002,Chicago,Milwaukee,TransEast,901,1.43,0.7,None,54,Yes,No,715
2025-02-06,South,R001,Miami,Atlanta,FastFreight,724,1.42,1.3,None,54,Yes,Yes,462
2025-02-07,North,R004,Minneapolis,Detroit,TransEast,730,1.4,0.4,None,50,Yes,No,809
2025-02-07,East,R005,New York,Washington,MoveWest,824,1.52,1.1,None,54,Yes,No,661
2025-02-07,East,R003,New York,Boston,MoveWest,913,1.57,0.9,None,68,Yes,No,845
2025-02-07,South,R005,New Orleans,Memphis,NorthernHaul,933,1.36,0.8,None,56,Yes,No,253
2025-02-08,North,R001,Chicago,Milwaukee,MoveWest,904,1.6,1.2,None,68,Yes,No,831
2025-02-08,North,R001,Toronto,Montreal,QuickShip,805,1.39,0.3,None,59,Yes,Yes,626
2025-02-09,West,R005,Los Angeles,San Francisco,QuickShip,807,1.41,1.1,None,70,Yes,Yes,711
2025-02-09,West,R001,Seattle,Portland,MoveWest,918,1.59,0.7,None,71,Yes,No,389
2025-02-09,North,R003,Minneapolis,Detroit,NorthernHaul,696,1.36,1.0,None,64,Yes,No,701
2025-02-09,South,R001,Miami,Atlanta,NorthernHaul,925,1.38,4.5,Loading_Delay,51,No,No,565
2025-02-10,East,R001,New York,Boston,MoveWest,815,1.59,0.2,None,62,Yes,No,458
2025-02-10,North,R005,Toronto,Montreal,MoveWest,943,1.59,0.2,None,54,Yes,No,676
2025-02-10,North,R003,Chicago,Milwaukee,MoveWest,728,1.39,0.0,None,63,Yes,Yes,629
2025-02-11,North,R002,Minneapolis,Detroit,TransEast,848,1.46,2.5,Weather,73,No,Yes,271
2025-02-11,North,R005,Chicago,Milwaukee,TransEast,805,1.52,1.3,None,70,Yes,No,602
2025-02-11,South,R002,Miami,Atlanta,FastFreight,663,1.4,3.2,Loading_Delay,62,No,No,341
2025-02-12,East,R003,New York,Washington,NorthernHaul,735,1.55,2.7,Weather,60,No,No,585
2025-02-12,West,R005,San Diego,Las Vegas,MoveWest,710,1.63,0.3,None,56,Yes,No,781
2025-02-12,North,R002,Toronto,Montreal,GoSouth,720,1.41,0.9,None,53,Yes,No,588
2025-02-12,East,R004,New York,Washington,GoSouth,811,1.55,1.1,None,61,Yes,No,436
2025-02-13,South,R001,Miami,Atlanta,TransEast,907,1.36,1.5,None,67,Yes,No,377
2025-02-13,East,R003,New York,Boston,NorthernHaul,699,1.56,0.5,None,49,Yes,Yes,547
2025-02-13,North,R002,Minneapolis,Detroit,MoveWest,669,1.61,0.1,None,72,Yes,No,251
2025-02-13,South,R003,New Orleans,Memphis,FastFreight,725,1.51,0.3,None,72,Yes,No,691
2025-02-14,West,R004,Seattle,Portland,GoSouth,677,1.42,0.4,None,69,Yes,No,290
2025-02-14,North,R004,Minneapolis,Detroit,FastFreight,941,1.55,0.1,None,61,Yes,Yes,483
2025-02-14,South,R002,Miami,Atlanta,MoveWest,845,1.36,0.3,None,71,Yes,Yes,704
2025-02-14,West,R002,San Diego,Las Vegas,MoveWest,713,1.36,1.0,None,70,Yes,No,812
2025-02-15,West,R003,Seattle,Portland,MoveWest,856,1.36,0.3,None,72,Yes,No,431
2025-02-15,East,R002,New York,Boston,TransEast,861,1.63,0.9,None,53,Yes,No,593
2025-02-15,South,R003,Miami,Atlanta,NorthernHaul,726,1.42,0.4,None,48,Yes,No,586
2025-02-16,East,R003,Boston,Philadelphia,QuickShip,922,1.53,1.5,None,61,Yes,No,690
2025-02-16,East,R002,Boston,Philadelphia,GoSouth,811,1.44,1.3,None,56,Yes,Yes,734
2025-02-16,East,R001,Boston,Philadelphia,MoveWest,722,1.48,1.3,None,47,Yes,No,469
2025-02-17,South,R002,Miami,Atlanta,TransEast,827,1.55,7.3,Traffic,56,No,No,467
